省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,pH类别,溶解氧,溶解氧类别,高锰酸钾,高锰酸钾类别,氨氮,氨氮类别,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
辽宁省,盘锦市,小柳河,辽河流域,丁家柳河桥,2022-06-01 00:00:00,Ⅳ,22.47,7.999,-,4.64,-,5.02,-,0.193,-,0.115,1.429,396.422,18.833,,,正常
辽宁省,大连市,英那河,辽河流域,万泰,2022-06-01 00:00:00,Ⅰ,20.57,8.09179,-,9.4345,-,1.29865,-,0.03588,-,0.00839,1.92364,119.748,2.27984,,,正常
辽宁省,大连市,复州河,辽河流域,三台子,2022-06-01 00:00:00,Ⅱ,23.00833,8.39974,-,6.14932,-,3.42691,-,0.11151,-,0.06771,4.2675,493.6722,20.32259,,,正常
辽宁省,铁岭市,辽河,辽河流域,三合屯,2022-06-01 00:00:00,Ⅲ,20.604,8.11,-,7.38,-,5.0909,-,0.052,-,0.065,2.634,672.4,51.4,,,正常
辽宁省,辽阳市,太子河,辽河流域,下王家,2022-06-01 00:00:00,Ⅱ,19.4154,7.84175,-,8.7,-,1.589,-,0.196,-,0.0263,3.392,428.71,7.38411,,,正常
辽宁省,辽阳市,下达河,辽河流域,下达河入汤河水库口,2022-06-01 00:00:00,Ⅱ,18.47,7.8473,-,6.029,-,1.864,-,0.0282,-,0.017,3.231,438.24,8.191,,,正常
辽宁省,铁岭市,柴河,辽河流域,东大桥,2022-06-01 00:00:00,Ⅱ,15.71,7.668,-,7.78,-,2.89,-,0.042,-,0.013,2.776,335.9,31.18,,,正常
辽宁省,沈阳市,浑河,辽河流域,东陵大桥,2022-06-01 00:00:00,Ⅱ,20.2001,8.0024,-,9.2013,-,2.6401,-,0.0692,-,0.0734,2.672,460.212,5.6279,,,正常
辽宁省,沈阳市,细河,辽河流域,于台,2022-06-01 00:00:00,Ⅲ,18.91,8.139,-,6.864,-,4.319,-,0.098,-,0.12,7.158,669.685,1.757,,,正常
辽宁省,铁岭市,亮子河,辽河流域,亮子河入河口,2022-06-01 00:00:00,Ⅳ,22.14,8.136,-,4.76,-,8.914,-,0.2199,-,0.255,3.076,584.411,117.15,,,正常
辽宁省,锦州市,小凌河,辽河流域,何家信子,2022-06-01 00:00:00,Ⅲ,17.82,7.827,-,5.96,-,3.68,-,0.033,-,0.0198,2.156,514.5,3.54,,,正常
辽宁省,沈阳市,蒲河,辽河流域,兴国桥,2022-06-01 00:00:00,Ⅳ,19.46,7.361,-,3.067,-,3.419,-,0.147,-,0.0429,1.157,631.134,1.956,,,正常
辽宁省,本溪市,太子河,辽河流域,兴安,2022-06-01 00:00:00,Ⅱ,15.18,7.886,-,9.075,-,2.236,-,0.025,-,0.0351,2.629,287.2,10.9,,,正常
